building_id,meter,timestamp,meter_reading
1074,0,2016-01-01 00:00:00,39.249
1074,0,2016-01-01 01:00:00,39.249
1074,0,2016-01-01 02:00:00,37.862
1074,0,2016-01-01 03:00:00,35.834
1074,0,2016-01-01 04:00:00,35.495
1074,0,2016-01-01 05:00:00,35.477
1074,0,2016-01-01 06:00:00,38.05
1074,0,2016-01-01 07:00:00,43.351000000000006
1074,0,2016-01-01 08:00:00,43.266000000000005
1074,0,2016-01-01 09:00:00,39.869
1074,0,2016-01-01 10:00:00,39.439
1074,0,2016-01-01 11:00:00,39.825
1074,0,2016-01-01 12:00:00,39.937
1074,0,2016-01-01 13:00:00,40.219
1074,0,2016-01-01 14:00:00,40.452
1074,0,2016-01-01 15:00:00,40.637
1074,0,2016-01-01 16:00:00,39.684
1074,0,2016-01-01 17:00:00,39.331
1074,0,2016-01-01 18:00:00,40.916
1074,0,2016-01-01 19:00:00,38.599
1074,0,2016-01-01 20:00:00,35.883
1074,0,2016-01-01 21:00:00,35.254
1074,0,2016-01-01 22:00:00,35.232
1074,0,2016-01-01 23:00:00,35.977
1074,0,2016-01-02 00:00:00,37.891
1074,0,2016-01-02 01:00:00,38.715
1074,0,2016-01-02 02:00:00,37.881
1074,0,2016-01-02 03:00:00,35.636
1074,0,2016-01-02 04:00:00,35.15
1074,0,2016-01-02 05:00:00,35.228
1074,0,2016-01-02 06:00:00,38.335
1074,0,2016-01-02 07:00:00,38.108
1074,0,2016-01-02 08:00:00,37.199
1074,0,2016-01-02 09:00:00,33.66
1074,0,2016-01-02 10:00:00,33.486
1074,0,2016-01-02 11:00:00,33.541
1074,0,2016-01-02 12:00:00,35.246
1074,0,2016-01-02 13:00:00,35.391
1074,0,2016-01-02 14:00:00,33.804
1074,0,2016-01-02 15:00:00,33.488
1074,0,2016-01-02 16:00:00,33.337
1074,0,2016-01-02 17:00:00,33.36
1074,0,2016-01-02 18:00:00,35.794000000000004
1074,0,2016-01-02 19:00:00,35.48
1074,0,2016-01-02 20:00:00,35.896
1074,0,2016-01-02 21:00:00,35.491
1074,0,2016-01-02 22:00:00,35.685
1074,0,2016-01-02 23:00:00,35.838
1074,0,2016-01-03 00:00:00,36.302
1074,0,2016-01-03 01:00:00,37.211
1074,0,2016-01-03 02:00:00,36.843
1074,0,2016-01-03 03:00:00,35.581
1074,0,2016-01-03 04:00:00,35.2
1074,0,2016-01-03 05:00:00,35.216
1074,0,2016-01-03 06:00:00,36.727
1074,0,2016-01-03 07:00:00,36.627
1074,0,2016-01-03 08:00:00,36.11
1074,0,2016-01-03 09:00:00,34.118
1074,0,2016-01-03 10:00:00,33.483000000000004
1074,0,2016-01-03 11:00:00,33.351
1074,0,2016-01-03 12:00:00,33.589
1074,0,2016-01-03 13:00:00,33.569
1074,0,2016-01-03 14:00:00,33.563
1074,0,2016-01-03 15:00:00,33.3
1074,0,2016-01-03 16:00:00,33.41
1074,0,2016-01-03 17:00:00,33.565
1074,0,2016-01-03 18:00:00,35.157
1074,0,2016-01-03 19:00:00,35.253
1074,0,2016-01-03 20:00:00,35.263000000000005
1074,0,2016-01-03 21:00:00,35.875
1074,0,2016-01-03 22:00:00,35.936
1074,0,2016-01-03 23:00:00,35.839
1074,0,2016-01-04 00:00:00,36.769
1074,0,2016-01-04 01:00:00,37.15
1074,0,2016-01-04 02:00:00,36.785
1074,0,2016-01-04 03:00:00,35.803000000000004
1074,0,2016-01-04 04:00:00,35.596
1074,0,2016-01-04 05:00:00,35.439
1074,0,2016-01-04 06:00:00,41.893
1074,0,2016-01-04 07:00:00,63.35
1074,0,2016-01-04 08:00:00,64.707
1074,0,2016-01-04 09:00:00,75.835
1074,0,2016-01-04 10:00:00,88.60799999999999
1074,0,2016-01-04 11:00:00,90.278
